JAMB_Score,Study_Hours_Per_Week,Attendance_Rate,Teacher_Quality,Distance_To_School,Age,Assignments_Completed
192,22,78,4,12.4,17,2
207,14,88,4,2.7,15,1
182,29,87,2,9.6,20,2
210,29,99,2,2.6,22,1
199,12,98,3,8.8,22,1
202,25,85,2,13.6,15,1
251,35,85,4,2.6,16,4
129,27,75,3,9.4,19,3
220,23,85,3,4.6,19,1
157,15,79,3,15.6,20,1
188,32,90,2,4.5,22,3
158,7,87,3,4.7,20,1
191,25,91,2,8.3,19,2
114,2,92,1,14.8,19,1
146,27,100,3,10.5,18,2
154,16,84,4,7.1,15,1
102,25,90,3,9.6,15,2
106,18,77,2,7.6,22,1
238,14,100,3,4.1,20,1
274,40,100,3,12.2,21,4
108,28,90,1,16.6,20,2
251,34,90,2,9.3,21,5
159,11,77,2,11.8,20,1
207,20,73,3,5.6,22,1
263,28,89,3,14.5,18,3
149,11,97,3,5,22,1
101,29,77,2,3.9,21,3
153,19,90,3,10.2,16,2
153,0,91,2,9.9,22,1
267,30,87,5,12.9,17,2
133,13,94,2,13.2,22,1
199,21,58,5,11.8,19,3
147,14,71,3,2.9,19,2
177,27,76,2,10.3,18,1
239,35,81,2,16,21,2
181,23,88,1,8.6,19,3
123,12,84,1,6.3,22,2
159,18,87,2,10.3,18,1
140,17,88,3,2.8,17,1
144,10,73,2,6.3,21,1
206,27,75,3,15,15,3
100,18,83,3,13.6,22,1
223,38,81,3,8.3,19,2
266,39,75,5,17.5,16,3
134,10,91,1,8.7,18,1
104,21,93,2,19.7,21,2
140,8,97,2,5.1,20,1
172,26,86,3,5.4,17,4
133,11,88,1,7.8,21,1
222,14,100,1,12.9,16,1
136,19,76,2,9.5,15,1
185,0,96,4,12.5,16,1
164,3,86,3,15.4,18,1
146,16,91,1,12,19,1
100,14,81,1,7.2,15,3
113,11,93,4,10.4,22,2
108,0,82,1,3.3,18,1
189,13,71,2,5.9,17,1
262,30,100,4,5.7,16,3
231,30,79,4,17.6,22,4
151,18,95,4,11.7,16,1
103,24,79,1,16.2,15,1
122,19,92,1,11.5,22,1
114,8,91,2,14.2,15,1
135,14,86,3,12.3,17,2
170,7,89,3,4.6,17,1
185,20,89,4,7.4,22,2
141,27,63,1,5.2,22,2
156,24,84,3,18.4,22,1
227,37,77,2,9.1,15,4
143,14,84,3,5.4,22,1
161,31,73,2,2.4,21,4
191,19,74,2,17.7,18,2
161,32,99,2,11.9,18,2
226,24,98,1,4.1,15,4
176,26,84,3,10.9,16,4
169,33,86,2,14.7,21,1
108,12,78,3,18.6,20,1
196,23,91,3,14.6,19,1
243,37,82,5,17.9,22,2
231,23,97,3,9.1,22,3
151,6,80,3,5.7,17,1
157,38,79,4,16.6,18,3
138,12,82,2,9.1,19,1
155,19,77,1,5.9,16,1
298,40,95,3,8.7,17,4
191,15,80,1,18,18,3
236,16,93,5,7.3,18,1
100,16,91,3,11.1,16,2
201,6,79,5,10.5,16,1
189,18,84,3,12.6,18,2
131,18,86,3,10,18,3
154,15,79,2,7.6,19,1
116,1,85,3,0,16,1
123,30,86,1,10,20,5
197,22,96,1,2,16,2
110,27,75,1,8.8,19,1
115,12,72,1,11.1,16,1
158,10,80,4,9.4,15,1
228,26,78,5,15.7,21,1
158,16,89,1,8.6,17,1
225,13,76,4,19.6,15,2
118,28,100,3,15,21,3
170,14,96,1,9.5,20,2
232,8,88,2,3.3,16,1
138,29,90,2,3.1,19,1
100,9,64,3,12,18,1
156,13,100,1,9.4,16,2
222,8,82,3,4.4,18,1
141,33,81,2,17.1,22,4
215,11,69,3,7.5,22,1
159,19,88,2,14.4,17,1
200,30,75,2,10.6,21,4
211,26,88,3,11.9,15,3
131,15,76,4,8.2,17,1
108,0,70,2,7.9,22,1
218,16,79,2,5,18,1
102,15,82,3,9,21,1
153,11,71,2,9.3,17,1
123,17,74,1,1.1,18,1
171,26,90,5,17.8,15,1
183,29,100,2,1.2,18,1
188,10,90,2,11.3,15,2
192,40,77,3,6.9,16,4
245,32,85,5,10.9,18,4
153,18,83,1,13.8,17,1
160,28,80,3,7.7,21,1
232,40,96,5,4,22,3
263,14,92,3,6.6,19,2
119,13,89,1,13.4,17,1
107,0,77,1,0,20,1
116,17,93,2,4.5,21,1
147,21,81,4,5.5,19,2
221,23,78,2,11.3,22,2
245,20,100,4,12.4,17,3
150,0,65,1,11.7,22,1
126,19,74,1,5,18,1
120,28,75,2,15.6,16,1
127,10,100,4,16,20,1
196,25,100,3,7,18,1
247,11,100,3,7.6,15,2
234,29,85,3,13.3,16,2
116,11,100,3,16.2,21,1
129,9,85,2,3.1,20,1
105,7,89,3,8.9,18,1
136,13,84,1,17.4,16,1
145,21,82,4,16.9,15,2
198,10,83,2,11.6,20,1
162,15,82,2,6.4,19,1
131,16,87,3,7.4,21,1
166,9,87,3,4.3,20,1
224,40,87,3,17.1,21,3
153,10,97,3,9.1,22,1
145,11,54,1,3,21,1
231,15,93,4,2.6,16,2
122,32,88,3,8.7,16,3
226,29,98,4,0,15,4
189,12,85,2,6.7,20,2
132,26,84,3,5.1,18,1
247,27,98,3,9,19,1
141,19,96,3,14.3,16,1
198,18,83,4,14.2,16,2
223,17,90,3,8.5,16,1
106,17,96,1,11.8,16,1
144,12,62,4,19.4,22,1
207,39,80,3,14.9,20,2
115,3,94,2,12.3,15,1
222,37,98,3,5.7,16,4
283,28,96,2,8.9,19,3
222,26,83,4,9.8,15,1
150,25,74,1,15.3,20,2
162,13,78,2,10,22,1
121,23,96,2,3.8,16,4
185,0,79,4,9.1,20,1
241,19,89,3,17,19,1
153,9,76,3,16.6,17,1
196,10,94,3,6.7,17,1
159,16,78,2,11.3,22,2
204,26,85,3,10,19,2
105,20,64,2,13.9,22,2
229,26,72,1,6.8,16,1
154,12,83,2,11.7,16,1
215,26,74,3,10.5,22,3
129,17,100,2,14.8,15,1
268,36,71,3,4.3,16,2
154,25,75,2,11.3,15,2
225,24,88,2,6.3,16,3
122,7,78,2,16.7,20,1
111,8,70,2,1.8,18,1
157,13,74,2,3.6,18,2
133,13,72,3,20,19,1
247,28,86,3,13.3,21,2
244,32,100,2,6.8,21,1
215,23,88,1,16.3,21,1
163,19,95,5,10.8,20,3
121,16,86,1,8.4,21,1
166,14,94,2,11,18,2
215,15,60,3,6.8,21,1
221,8,84,3,13,17,1
263,21,100,4,20,17,2
246,30,83,3,4.2,21,4
295,23,100,3,3.7,21,2
168,17,98,3,0,15,1
189,25,81,2,20,22,1
184,25,80,3,6,17,1
132,6,72,3,20,16,1
122,24,75,2,1.6,15,2
204,32,74,3,7.2,20,3
151,7,87,3,15.1,18,1
118,7,67,3,6.6,21,1
100,24,85,4,13.6,18,1
103,12,86,1,9.2,17,1
179,0,69,3,8.9,17,1
191,8,100,3,0.9,16,2
190,19,90,2,0.5,18,1
111,4,87,2,13.7,21,1
132,12,74,3,5,22,1
150,18,89,2,8.4,17,2
111,28,91,3,17.9,18,1
132,13,81,3,14,18,1
142,27,100,1,0,17,1
212,36,87,3,7.7,18,3
245,38,100,3,4.1,17,4
299,33,95,3,9.7,21,2
180,2,90,2,12.7,21,1
192,25,70,2,9.7,19,3
189,30,89,3,11.2,17,3
106,13,73,3,18.4,18,1
249,40,81,2,14.3,19,4
128,24,98,3,6.9,21,3
274,33,89,2,10.9,18,2
135,26,72,1,10.3,18,1
208,25,83,2,8.4,22,3
198,0,73,4,8.1,19,1
135,12,95,3,4.5,20,1
195,32,79,3,15.4,16,4
161,11,88,2,7.2,19,1
111,12,93,2,6.8,21,2
112,5,76,2,5.6,20,1
198,38,91,2,17,20,3
216,38,77,2,8.2,18,4
183,12,100,2,1.1,18,2
185,22,94,1,10.4,21,1
118,9,79,1,8.1,16,1
111,20,73,2,6.7,22,1
118,20,80,2,15.8,19,1
206,30,83,2,0.3,17,3
194,24,100,2,7.2,22,2
182,40,73,4,7.2,18,3
115,5,82,1,19.1,22,1
198,6,86,3,5.7,19,1
151,14,82,2,7.6,15,1
199,7,85,3,1.4,18,1
115,1,79,3,12.2,17,1
152,9,91,1,15.3,18,1
138,8,88,2,13.9,20,1
104,5,84,3,13.3,22,1
