JAMB_Score,Study_Hours,Attendance_Rate,Teacher_Quality,Distance_To_School,Student_ID,Age,Gender,Assignments_Completed
192,22,78,4,12.4,1,17,1,2
207,14,88,4,2.7,2,15,1,1
182,29,87,2,9.6,3,20,2,2
210,29,99,2,2.6,4,22,2,1
199,12,98,3,8.8,5,22,2,1
202,25,85,2,13.6,6,15,1,1
251,35,85,4,2.6,7,16,2,4
129,,75,3,9.4,8,19,2,3
220,23,85,3,4.6,9,19,2,1
157,15,79,3,15.6,10,20,2,1
188,32,90,2,4.5,11,22,1,3
158,7,87,3,4.7,12,20,1,1
191,25,91,2,8.3,13,19,2,2
114,2,92,1,14.8,14,19,1,1
146,27,100,3,10.5,15,18,1,2
154,16,84,4,7.1,16,15,1,1
102,25,90,3,9.6,17,15,1,2
106,,77,2,7.6,18,22,2,1
238,14,100,3,4.1,19,20,2,1
274,40,100,3,12.2,20,21,2,4
108,28,90,1,16.6,21,20,2,2
251,34,90,2,9.3,22,21,1,5
159,11,77,2,11.8,23,20,1,1
207,20,73,3,5.6,24,22,1,1
263,28,89,3,14.5,25,18,1,3
149,11,97,3,5,26,22,2,1
101,29,77,2,3.9,27,21,2,3
153,19,90,3,10.2,28,16,2,2
153,0,91,2,9.9,29,22,2,1
267,30,87,5,12.9,30,17,1,2
133,13,94,2,13.2,31,22,2,1
199,,58,5,11.8,32,19,2,3
147,14,71,3,2.9,33,19,2,2
177,27,76,2,10.3,34,18,1,1
239,35,81,2,16,35,21,2,2
181,23,88,1,8.6,36,19,2,3
123,12,84,1,6.3,37,22,2,2
159,18,87,2,10.3,38,18,2,1
140,17,88,3,2.8,39,17,2,1
144,10,73,2,6.3,40,21,2,1
206,27,75,3,15,41,15,2,3
100,18,83,3,13.6,42,22,1,1
223,38,81,3,8.3,43,19,2,2
266,39,75,5,17.5,44,16,1,3
134,10,91,1,8.7,45,18,2,1
104,21,93,2,19.7,46,21,2,2
140,8,97,2,5.1,47,20,2,1
172,26,86,3,5.4,48,17,1,4
133,11,88,1,7.8,49,21,2,1
222,14,100,1,12.9,50,16,1,1
136,19,76,2,9.5,51,15,2,1
185,,96,4,12.5,52,16,2,1
164,3,86,3,15.4,53,18,2,1
146,16,91,1,12,54,19,2,1
100,14,81,1,7.2,55,15,1,3
113,11,93,4,10.4,56,22,2,2
108,0,82,1,3.3,57,18,2,1
189,13,71,2,5.9,58,17,2,1
262,30,100,4,5.7,59,16,1,3
231,30,79,4,17.6,60,22,2,4
151,18,95,4,11.7,61,16,1,1
103,24,79,1,16.2,62,15,1,1
122,19,92,1,11.5,63,22,1,1
114,8,91,2,14.2,64,15,2,1
135,14,86,3,12.3,65,17,2,2
170,7,89,3,4.6,66,17,1,1
185,20,89,4,7.4,67,22,2,2
141,27,63,1,5.2,68,22,2,2
156,24,84,3,18.4,69,22,2,1
227,37,77,2,9.1,70,15,1,4
143,14,84,3,5.4,71,22,2,1
161,31,73,2,2.4,72,21,1,4
191,19,74,2,17.7,73,18,2,2
161,32,99,2,11.9,74,18,2,2
226,24,98,1,4.1,75,15,2,4
176,26,84,3,10.9,76,16,2,4
169,33,86,2,14.7,77,21,1,1
108,12,78,3,18.6,78,20,1,1
196,23,91,3,14.6,79,19,2,1
243,37,82,5,17.9,80,22,2,2
231,23,97,3,9.1,81,22,2,3
151,6,80,3,5.7,82,17,2,1
157,38,79,4,16.6,83,18,1,3
138,12,82,2,9.1,84,19,2,1
155,19,77,1,5.9,85,16,2,1
298,40,95,3,8.7,86,17,1,4
191,,80,1,18,87,18,1,3
236,16,93,5,7.3,88,18,1,1
100,16,91,3,11.1,89,16,1,2
201,6,79,5,10.5,90,16,1,1
189,18,84,3,12.6,91,18,2,2
131,18,86,3,10,92,18,1,3
154,15,79,2,7.6,93,19,2,1
116,1,85,3,0,94,16,1,1
123,30,86,1,10,95,20,1,5
197,22,96,1,2,96,16,2,2
110,27,75,1,8.8,97,19,1,1
115,12,72,1,11.1,98,16,1,1
158,10,80,4,9.4,99,15,1,1
228,26,78,5,15.7,100,21,2,1
158,16,89,1,8.6,101,17,1,1
225,13,76,4,19.6,102,15,1,2
118,28,100,3,15,103,21,2,3
170,14,96,1,9.5,104,20,2,2
232,8,88,2,3.3,105,16,1,1
138,29,90,2,3.1,106,19,1,1
100,9,64,3,12,107,18,2,1
156,13,100,1,9.4,108,16,1,2
222,8,82,3,4.4,109,18,2,1
141,33,81,2,17.1,110,22,2,4
215,11,69,3,7.5,111,22,2,1
159,19,88,2,14.4,112,17,2,1
200,30,75,2,10.6,113,21,2,4
211,,88,3,11.9,114,15,1,3
131,15,76,4,8.2,115,17,1,1
108,0,70,2,7.9,116,22,1,1
218,16,79,2,5,117,18,2,1
102,15,82,3,9,118,21,2,1
153,11,71,2,9.3,119,17,1,1
123,17,74,1,1.1,120,18,1,1
171,26,90,5,17.8,121,15,1,1
183,29,100,2,1.2,122,18,1,1
188,10,90,2,11.3,123,15,2,2
192,40,77,3,6.9,124,16,1,4
245,32,85,5,10.9,125,18,1,4
153,18,83,1,13.8,126,17,2,1
160,28,80,3,7.7,127,21,2,1
232,40,96,5,4,128,22,2,3
263,14,92,3,6.6,129,19,1,2
119,13,89,1,13.4,130,17,2,1
107,0,77,1,0,131,20,1,1
116,17,93,2,4.5,132,21,1,1
147,21,81,4,5.5,133,19,2,2
221,23,78,2,11.3,134,22,2,2
245,,100,4,12.4,135,17,2,3
150,0,65,1,11.7,136,22,2,1
126,19,74,1,5,137,18,1,1
120,28,75,2,15.6,138,16,1,1
127,10,100,4,16,139,20,2,1
196,25,100,3,7,140,18,1,1
247,11,100,3,7.6,141,15,2,2
234,29,85,3,13.3,142,16,2,2
116,11,100,3,16.2,143,21,2,1
129,9,85,2,3.1,144,20,2,1
105,7,89,3,8.9,145,18,1,1
136,13,84,1,17.4,146,16,2,1
145,21,82,4,16.9,147,15,2,2
198,10,83,2,11.6,148,20,2,1
162,15,82,2,6.4,149,19,2,1
131,16,87,3,7.4,150,21,1,1
166,9,87,3,4.3,151,20,2,1
224,40,87,3,17.1,152,21,1,3
153,10,97,3,9.1,153,22,1,1
145,11,54,1,3,154,21,2,1
231,15,93,4,2.6,155,16,1,2
122,32,88,3,8.7,156,16,1,3
226,29,98,4,0,157,15,2,4
189,12,85,2,6.7,158,20,1,2
132,26,84,3,5.1,159,18,2,1
247,27,98,3,9,160,19,1,1
141,19,96,3,14.3,161,16,2,1
198,18,83,4,14.2,162,16,2,2
223,17,90,3,8.5,163,16,2,1
106,17,96,1,11.8,164,16,1,1
144,12,62,4,19.4,165,22,2,1
207,39,80,3,14.9,166,20,2,2
115,3,94,2,12.3,167,15,2,1
222,37,98,3,5.7,168,16,2,4
283,28,96,2,8.9,169,19,1,3
222,26,83,4,9.8,170,15,1,1
150,25,74,1,15.3,171,20,2,2
162,13,78,2,10,172,22,2,1
121,23,96,2,3.8,173,16,2,4
185,0,79,4,9.1,174,20,2,1
241,19,89,3,17,175,19,2,1
153,9,76,3,16.6,176,17,1,1
196,10,94,3,6.7,177,17,2,1
159,16,78,2,11.3,178,22,1,2
204,26,85,3,10,179,19,1,2
105,20,64,2,13.9,180,22,1,2
229,26,72,1,6.8,181,16,2,1
154,12,83,2,11.7,182,16,1,1
215,26,74,3,10.5,183,22,1,3
129,17,100,2,14.8,184,15,2,1
268,36,71,3,4.3,185,16,2,2
154,25,75,2,11.3,186,15,2,2
225,24,88,2,6.3,187,16,2,3
122,7,78,2,16.7,188,20,1,1
111,8,70,2,1.8,189,18,2,1
157,13,74,2,3.6,190,18,1,2
133,13,72,3,20,191,19,2,1
247,28,86,3,13.3,192,21,1,2
244,32,100,2,6.8,193,21,1,1
215,23,88,1,16.3,194,21,2,1
163,19,95,5,10.8,195,20,1,3
121,16,86,1,8.4,196,21,2,1
166,14,94,2,11,197,18,1,2
215,15,60,3,6.8,198,21,1,1
221,8,84,3,13,199,17,1,1
263,21,100,4,20,200,17,2,2
246,30,83,3,4.2,201,21,2,4
295,23,100,3,3.7,202,21,1,2
168,17,98,3,0,203,15,1,1
189,25,81,2,20,204,22,2,1
184,25,80,3,6,205,17,2,1
